,valid_from,changeset_id,tags_before,changeset_tags
0,2017-10-31 15:55:10+01:00,53398070,{'place': 'isolated_dwelling'},"{'created_by': 'JOSM/1.5 (12921 en)', 'source': 'DigitalGlobe Imagery', 'comment': 'fixing & adding  data'}"
1,2020-02-26 14:20:28+01:00,81505198,{},"{'imagery_used': 'OpenStreetMap (Standard);OpenTopoMap;Maxar Standard Imagery (Beta)', 'changesets_count': '202', 'host': 'https://www.openstreetmap.org/edit', 'locale': 'fr-FR', 'created_by': 'iD 2.17.2', 'comment': 'no such wall'}"
2,2015-10-25 00:54:41+02:00,34850860,{},"{'created_by': 'iD 1.7.4', 'locale': 'fr', 'imagery_used': 'Bing', 'host': 'https://www.openstreetmap.org/id'}"
3,2017-10-26 11:31:11+02:00,53258323,{'place': 'hamlet'},"{'created_by': 'JOSM/1.5 (12921 en)', 'source': 'survey', 'comment': 'fixing & adding  data'}"
4,2023-09-23 12:49:31+02:00,141638677,{'barrier': 'gate'},"{'imagery_used': 'OpenStreetMap (Standard)', 'changesets_count': '1', 'host': 'https://www.openstreetmap.org/edit', 'locale': 'en-US', 'created_by': 'iD 2.27.1', 'comment': 'it is a dispute region'}"
5,2020-02-26 14:20:28+01:00,81505198,{'barrier': 'gate'},"{'imagery_used': 'OpenStreetMap (Standard);OpenTopoMap;Maxar Standard Imagery (Beta)', 'changesets_count': '202', 'host': 'https://www.openstreetmap.org/edit', 'locale': 'fr-FR', 'created_by': 'iD 2.17.2', 'comment': 'no such wall'}"
0,2015-08-09 19:38:01+02:00,33223889,"{'name': '(Moroccan Wall) الجدار الرملي', 'barrier': 'wall', 'name:en': 'Moroccan Wall', 'wikipedia': 'en:Moroccan Wall', 'name:ar': 'الجدار الرملي', 'embankment': 'yes'}","{'locale': 'en-US', 'imagery_used': 'Bing', 'host': 'http://www.openstreetmap.org/id', 'created_by': 'iD 1.7.3'}"
1,2014-08-16 22:32:04+02:00,24793810,{'barrier': 'embankment'},{'created_by': 'osmapi/0.3.1'}
2,2017-10-27 19:47:17+02:00,53297763,"{'barrier': 'wall', 'embankment': 'yes'}","{'source': 'DigitalGlobe Imagery', 'comment': 'fixing & adding  data', 'created_by': 'JOSM/1.5 (12921 en)'}"
3,2015-08-09 19:12:28+02:00,33223444,{'barrier': 'embankment'},"{'locale': 'en-US', 'imagery_used': 'Bing', 'host': 'http://www.openstreetmap.org/id', 'created_by': 'iD 1.7.3'}"
4,2017-10-27 19:47:19+02:00,53297763,"{'barrier': 'wall', 'embankment': 'yes'}","{'source': 'DigitalGlobe Imagery', 'comment': 'fixing & adding  data', 'created_by': 'JOSM/1.5 (12921 en)'}"
5,2014-08-16 22:32:59+02:00,24793810,{'barrier': 'embankment'},{'created_by': 'osmapi/0.3.1'}
6,2014-08-16 22:32:59+02:00,24793810,{'barrier': 'embankment'},{'created_by': 'osmapi/0.3.1'}
7,2015-08-09 19:35:50+02:00,33223851,"{'barrier': 'wall', 'embankment': 'yes'}","{'locale': 'en-US', 'imagery_used': 'Bing', 'host': 'http://www.openstreetmap.org/id', 'created_by': 'iD 1.7.3'}"
8,2019-04-10 11:38:56+02:00,69075555,"{'source': 'satellite imagery', 'name': 'الجدار الأمني المغربي', 'barrier': 'wall', 'name:en': 'Moroccan Security Wall', 'wikidata': 'Q510052', 'alt_name': 'Moroccan Western Sahara Wall', 'wikipedia': 'en:Moroccan Western Sahara Wall', 'name:ru': 'Марокканская стена', 'name:ar': 'الجدار الأمني المغربي', 'name:fr': 'Mur de Sécurité Marocain', 'name:es': 'Muro de seguridad Marroquí', 'embankment': 'yes', 'name:lt': 'Maroko apsaugos siena', 'disputed_by': 'MA'}","{'host': 'https://www.openstreetmap.org/edit', 'locale': 'fr', 'created_by': 'iD 2.14.3', 'comment': ""J'ai mis à jour la carte par rapport aux changements dans Gmap et Bing Map"", 'imagery_used': 'Bing aerial imagery', 'changesets_count': '1'}"
9,2016-04-11 19:01:22+02:00,38480265,"{'boundary': 'administrative', 'admin_level': '7'}","{'created_by': 'reverter;JOSM/1.5 (9979 de)', 'comment': 'reverted sockpuppet edits'}"
